"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"78","4","Smolenskaya","Смоленская","1935-05-15",-8,55.7488,37.5825
"79","4","Arbatskaya","Арбатская","1935-05-15",-8,55.7518,37.6007
"80","4","Aleksandrovsky Sad","Александровский сад","1935-05-15",-7,55.7525,37.6085
"81","5","Kiyevskaya","Киевская","1954-03-14",-48,55.7446,37.5644
"82","5","Krasnopresnenskaya","Краснопресненская","1954-03-14",-35.5,55.7613,37.5774
"83","5","Belorusskaya","Белорусская","1952-01-30",-42.5,55.7764,37.5844
"84","5","Novoslobodskaya","Новослободская","1952-01-30",-40,55.7799,37.6028
"85","5","Prospekt Mira","Проспект Мира","1952-01-30",-40,55.7798,37.6318
"86","5","Komsomolskaya","Комсомольская","1952-01-30",-37,55.7748,37.6549
"87","5","Kurskaya","Курская","1950-01-01",-40,55.757,37.6595
"88","5","Taganskaya","Таганская","1950-01-01",-53,55.7418,37.6517
"89","5","Paveletskaya","Павелецкая","1950-01-01",-40,55.7318,37.6379
"90","5","Dobryninskaya","Добрынинская","1950-01-01",-35.5,55.7291,37.6243
"91","5","Oktyabrskaya","Октябрьская","1950-01-01",-40,55.7297,37.6091
"92","5","Park Kultury","Парк культуры","1950-01-01",-40,55.7357,37.5915
"93","6","Medvedkovo","Медведково","1978-09-30",-10,55.8872,37.6613
"94","6","Babushkinskaya","Бабушкинская","1978-09-30",-10,55.8694,37.6644
"95","6","Sviblovo","Свиблово","1978-09-30",-8,55.8552,37.6527
"96","6","Botanichesky Sad","Ботанический сад","1978-09-30",-7,55.8449,37.6383
"97","6","VDNKh","ВДНХ","1958-05-01",-53.5,55.8211,37.6411
"98","6","Alekseyevskaya","Алексеевская","1958-05-01",-51,55.8088,37.639
"99","6","Rizhskaya","Рижская","1958-05-01",-46,55.7936,37.6362
"100","6","Prospekt Mira","Проспект Мира","1958-05-01",-50,55.7812,37.6318
"101","6","Sukharevskaya","Сухаревская","1972-01-05",-43,55.7733,37.6319
"102","6","Turgenevskaya","Тургеневская","1972-01-05",-49,55.7661,37.6374
"103","6","Kitay-gorod","Китай-город","1971-01-03",-29,55.7553,37.6333
"104","6","Tretyakovskaya","Третьяковская","1971-01-03",-46,55.7412,37.6274
"105","6","Oktyabrskaya","Октябрьская","1962-10-13",-50,55.7306,37.6112
"106","6","Shabolovskaya","Шаболовская","1980-11-06",-46.5,55.7198,37.6083
"107","6","Leninsky Prospekt","Ленинский проспект","1962-10-13",-16,55.7077,37.5861
"108","6","Akademicheskaya","Академическая","1962-10-13",-8.5,55.6877,37.5733
"109","6","Profsoyuznaya","Профсоюзная","1962-10-13",-7,55.678,37.5627
"110","6","Novye Cheryomushki","Новые Черёмушки","1962-10-13",-7,55.6702,37.5544
"111","6","Kaluzhskaya","Калужская","1974-08-12",-10,55.6571,37.5405
"112","6","Belyayevo","Беляево","1974-08-12",-12,55.6428,37.5257
"113","6","Konkovo","Коньково","1987-11-06",-8,55.6333,37.5188
"114","6","Tyoply Stan","Тёплый Стан","1987-11-06",-8,55.6191,37.5082
"115","6","Yasenevo","Ясенево","1990-01-17",-8,55.6063,37.5333
"116","6","Novoyasenevskaya","Новоясеневская","1990-01-17",-7,55.601,37.5541
"117","7","Planernaya","Планерная","1975-12-30",-6,55.8607,37.4364
"118","7","Skhodnenskaya","Сходненская","1975-12-30",-6,55.8505,37.4396
"119","7","Tushinskaya","Тушинская","1975-12-30",-10.5,55.8267,37.4368
"120","7","Spartak","Спартак","2014-08-27",-10,55.8182,37.4352
"121","7","Shchukinskaya","Щукинская","1975-12-30",-13,55.8086,37.4641
"122","7","Oktyabrskoye Pole","Октябрьское поле","1972-12-30",-11,55.7935,37.4935
"123","7","Polezhayevskaya","Полежаевская","1972-12-30",-10,55.7775,37.5192
"124","7","Begovaya","Беговая","1972-12-30",-9,55.7738,37.5468
"125","7","Ulitsa 1905 Goda","Улица 1905 года","1972-12-30",-11,55.765,37.5613
"126","7","Barrikadnaya","Баррикадная","1972-12-30",-30,55.7612,37.5795
"127","7","Pushkinskaya","Пушкинская","1975-12-17",-51,55.765,37.6079
"128","7","Kuznetsky Most","Кузнецкий мост","1975-12-17",-39.5,55.7606,37.6259
"129","7","Kitay-gorod","Китай-город","1971-01-03",-29,55.7553,37.6333
"130","7","Taganskaya","Таганская","1966-12-31",-36,55.7402,37.6522
"131","7","Proletarskaya","Пролетарская","1966-12-31",-9,55.7319,37.6659
"132","7","Volgogradsky Prospekt","Волгоградский проспект","1966-12-31",-8,55.7253,37.6869
"133","7","Tekstilshchiki","Текстильщики","1966-12-31",-13,55.7088,37.7316
"134","7","Kuzminki","Кузьминки","1966-12-31",-8,55.7056,37.7656
"135","7","Ryazansky Prospekt","Рязанский проспект","1966-12-31",-6,55.717,37.7933
"136","7","Vykhino","Выхино","1966-12-31",0,55.7156,37.8181
"137","7","Lermontovsky Prospekt","Лермонтовский проспект","2013-11-09",-12,55.7013,37.8525
"138","7","Zhulebino","Жулебино","2013-11-09",-15,55.6855,37.8563
"139","7","Kotelniki","Котельники","2015-09-21",-15,55.6743,37.8582
"140","8A","Ramenki","Раменки","2017-03-16",-15,55.6975,37.4984
"141","8A","Lomonosovsky Prospekt","Ломоносовский проспект","2017-03-16",-15,55.7069,37.5156
"142","8A","Minskaya","Минская","2017-03-16",-15,55.7246,37.497
"143","8A","Park Pobedy","Парк Победы","2003-05-06",-73.6,55.7362,37.5182
"144","8","Tretyakovskaya","Третьяковская","1986-01-25",-46,55.7412,37.6274
"145","8","Marksistskaya","Марксистская","1979-12-30",-60,55.7411,37.6543
"146","8","Ploshchad Ilyicha","Площадь Ильича","1979-12-30",-46,55.7472,37.6824
"147","8","Aviamotornaya","Авиамоторная","1979-12-30",-53,55.7524,37.7191
"148","8","Shosse Entuziastov","Шоссе Энтузиастов","1979-12-30",-53,55.7576,37.75
"149","8","Perovo","Перово","1979-12-30",-9,55.7511,37.7866
"150","8","Novogireyevo","Новогиреево","1979-12-30",-9,55.7517,37.8166
"151","8","Novokosino","Новокосино","2012-08-30",-9,55.7451,37.8638
"152","9","Altufyevo","Алтуфьево","1994-07-15",-9,55.898,37.587
"153","9","Bibirevo","Бибирево","1992-12-31",-9.5,55.8838,37.6034
"154","9","Otradnoye","Отрадное","1991-03-01",-9,55.8633,37.6047
"155","9","Vladykino","Владыкино","1991-03-01",-10.5,55.8473,37.5899
"156","9","Petrovsko-Razumovskaya","Петровско-Разумовская","1991-03-01",-61,55.8351,37.5745
"157","9","Timiryazevskaya","Тимирязевская","1991-03-01",-63.5,55.8176,37.5765
"158","9","Dmitrovskaya","Дмитровская","1991-03-01",-59,55.8069,37.5817
"159","9","Savyolovskaya","Савёловская","1988-12-31",-52,55.7927,37.5885
"160","9","Mendeleyevskaya","Менделеевская","1988-12-31",-48.5,55.781,37.6011
"161","9","Tsvetnoy Bulvar","Цветной бульвар","1988-12-31",-50,55.7708,37.6187
"162","9","Chekhovskaya","Чеховская","1987-12-31",-62,55.7644,37.6097
"163","9","Borovitskaya","Боровицкая","1986-01-23",-46.5,55.7511,37.6072
"164","9","Polyanka","Полянка","1986-01-23",-36.5,55.7379,37.618
"165","9","Serpukhovskaya","Серпуховская","1983-11-08",-43,55.728,37.6246
"166","9","Tulskaya","Тульская","1983-11-08",-9.5,55.7087,37.6229
"167","9","Nagatinskaya","Нагатинская","1983-11-08",-13.5,55.683,37.6224
"168","9","Nagornaya","Нагорная","1983-11-08",-9,55.6724,37.6104
"169","9","Nakhimovsky Prospekt","Нахимовский проспект","1983-11-08",-9.5,55.6627,37.6055
"170","9","Sevastopolskaya","Севастопольская","1983-11-08",-13,55.6524,37.5984
"171","9","Chertanovskaya","Чертановская","1983-11-08",-10.5,55.6405,37.6067
"172","9","Yuzhnaya","Южная","1983-11-08",-10,55.6224,37.609
"173","9","Prazhskaya","Пражская","1985-11-06",-9.5,55.6124,37.6044
"174","9","Ulitsa Akademika Yangelya","Улица академика Янгеля","2000-08-31",-8,55.5949,37.6004
"175","9","Annino","Аннино","2001-12-12",-8,55.5828,37.5966
"176","9","Bulvar Dmitriya Donskogo","Бульвар Дмитрия Донского","2002-12-26",-10,55.5693,37.5769
"177","10","Seligerskaya","Селигерская","2018-03-22",-20,55.865,37.548333
"178","10","Verkhnie Likhobory","Верхние Лихоборы","2018-03-22",NA,55.855833,37.561111
"179","10","Okruzhnaya","Окружная","2018-03-22",NA,55.846,37.57425
"180","10","Petrovsko-Razumovskaya","Петровско-Разумовская","1991-03-01",-61,55.8351,37.5745
"181","10","Fonvizinskaya","Фонвизинская","2016-09-16",-65,55.8228,37.5881
"182","10","Butyrskaya","Бутырская","2016-09-16",-60,55.8133,37.6028
"183","10","Maryina Roshcha","Марьина Роща","2010-06-19",-60,55.7954,37.6162
"184","10","Dostoyevskaya","Достоевская","2010-06-19",-60,55.7816,37.6151
"185","10","Trubnaya","Трубная","2007-08-30",-60,55.7688,37.62
"186","10","Sretensky Bulvar","Сретенский бульвар","2007-12-29",-60,55.7668,37.6392
"187","10","Chkalovskaya","Чкаловская","1995-12-28",-51,55.7565,37.6573
"188","10","Rimskaya","Римская","1995-12-28",-54,55.7463,37.6819
"189","10","Krestyanskaya Zastava","Крестьянская застава","1995-12-28",-47,55.7331,37.6673
"190","10","Dubrovka","Дубровка","1999-12-11",-62,55.7186,37.676
"191","10","Kozhukhovskaya","Кожуховская","1995-12-28",-12,55.7074,37.6851
"192","10","Pechatniki","Печатники","1995-12-28",-4,55.6934,37.727
"193","10","Volzhskaya","Волжская","1995-12-28",-8,55.6909,37.753
"194","10","Lyublino","Люблино","1996-12-25",-8,55.6758,37.7618
"195","10","Bratislavskaya","Братиславская","1996-12-25",-8,55.6597,37.7505
"196","10","Maryino","Марьино","1996-12-25",-8,55.65,37.7431
"197","10","Borisovo","Борисово","2011-12-02",-10,55.6334,37.7436
"198","10","Shipilovskaya","Шипиловская","2011-12-02",-10,55.6211,37.7437
"199","10","Zyablikovo","Зябликово","2011-12-02",-15,55.6124,37.7453
"200","11","Delovoy Tsentr","Деловой центр","2018-02-26",NA,NA,NA
"201","11","Shelepikha","Шелепиха","2018-02-26",NA,NA,NA
"202","11","Khoroshyovskaya","Хорошёвская","2018-02-26",NA,NA,NA
"203","11","CSKA (Moscow Metro)","ЦСКА","2018-02-26",NA,NA,NA
"204","11","Petrovsky Park","Петровский парк","2018-02-26",NA,NA,NA
"205","11A","Kashirskaya","Каширская","1969-08-11",-7,55.6551,37.6487
"206","11A","Varshavskaya","Варшавская","1969-08-11",-9,55.6533,37.6194
"207","11A","Kakhovskaya","Каховская","1969-08-11",-8,55.653,37.5983
"208","12","Bittsevsky Park","Битцевский парк","2014-02-27",-10,55.6004,37.5562
"209","12","Lesoparkovaya","Лесопарковая","2014-02-27",-10,55.5821,37.5769
"210","12","Ulitsa Starokachalovskaya","Улица Старокачаловская","2003-12-27",-10,55.569,37.5767
"211","12","Ulitsa Skobelevskaya","Улица Скобелевская","2003-12-27",9.6,55.5481,37.5546
"212","12","Bulvar Admirala Ushakova","Бульвар Адмирала Ушакова","2003-12-27",9.6,55.5455,37.543
"213","12","Ulitsa Gorchakova","Улица Горчакова","2003-12-27",9.6,55.5418,37.5308
"214","12","Buninskaya Alleya","Бунинская аллея","2003-12-27",9.6,55.538,37.5158
"215","13","Timiryazevskaya","Тимирязевская","2004-11-20",6,55.819,37.5789
"216","13","Ulitsa Milashenkova","Улица Милашенкова","2004-11-20",6,55.8218,37.5911
"217","13","Teletsentr","Телецентр","2004-11-20",6,55.8218,37.6089
"218","13","Ulitsa Akademika Korolyova","Улица Академика Королёва","2004-11-20",12,55.8218,37.6269
"219","13","Vystavochny Tsentr","Выставочный центр","2004-11-20",6,55.824,37.6383
"220","13","Ulitsa Sergeya Eyzenshteyna","Улица Сергея Эйзенштейна","2004-11-20",6,55.8292,37.5919
"221","14","Okruzhnaya","Окружная","2016-09-10",NA,55.8472,37.5694
"222","14","Vladykino","Владыкино","2016-09-10",NA,55.8476,37.593
"223","14","Botanichesky Sad","Ботанический сад","2016-09-10",NA,55.846,37.6413
"224","14","Rostokino","Ростокино","2016-09-10",NA,55.84,37.6653
"225","14","Belokamennaya","Белокаменная","2016-09-10",NA,55.83,37.7006
"226","14","Bulvar Rokossovskogo","Бульвар Рокоссовского","2016-09-10",NA,55.8172,37.7369
"227","14","Lokomotiv","Локомотив","2016-09-10",NA,55.8039,37.746
"228","14","Izmaylovo","Измайлово","2016-09-10",NA,55.7886,37.7428
"229","14","Sokolinaya Gora","Соколиная гора","2016-10-11",NA,55.7714,37.7451
"230","14","Shosse Entuziastov","Шоссе Энтузиастов","2016-09-10",NA,55.759,37.7463
"231","14","Andronovka","Андроновка","2016-09-10",NA,55.7411,37.7344
"232","14","Nizhegorodskaya","Нижегородская","2016-09-10",NA,55.7322,37.7282
"233","14","Novokhokhlovskaya","Новохохловская","2016-09-10",NA,55.7239,37.7161
"234","14","Ugreshskaya","Угрешская","2016-09-10",NA,55.7183,37.6978
"235","14","Dubrovka","Дубровка","2016-10-11",NA,55.7183,37.6978
"236","14","Avtozavodskaya","Автозаводская","2016-09-10",NA,55.7063,37.6631
"237","14","ZIL","ЗИЛ","2016-09-10",NA,55.6983,37.6483
"238","14","Verkhnie Kotly","Верхние Котлы","2016-09-10",NA,55.69,37.6189
"239","14","Krymskaya","Крымская","2016-09-10",NA,55.69,37.605
"240","14","Ploshchad Gagarina","Площадь Гагарина","2016-09-10",NA,55.7069,37.5858
"241","14","Luzhniki","Лужники","2016-09-10",NA,55.7203,37.5631
"242","14","Kutuzovskaya","Кутузовская","2016-09-10",NA,55.7408,37.5333
"243","14","Delovoy Tsentr","Деловой центр","2016-09-10",NA,55.7472,37.5322
"244","14","Shelepikha","Шелепиха","2016-09-10",NA,55.7575,37.5256
"245","14","Khoroshyovo","Хорошёво","2016-09-10",NA,55.7772,37.5072
"246","14","Zorge","Зорге","2016-11-04",NA,55.7878,37.5045
"247","14","Panfilovskaya","Панфиловская","2016-11-08",NA,55.7991,37.4988
"248","14","Streshnevo","Стрешнево","2016-09-10",NA,55.8136,37.4869
"249","14","Baltiyskaya","Балтийская","2016-09-10",NA,55.8258,37.4961
"250","14","Koptevo","Коптево","2016-11-01",NA,55.8397,37.5203
"251","14","Likhobory","Лихоборы","2016-09-10",NA,55.8472,37.5513
