"","Line","Name","OriginName","Opened","Elev","Lat","Lon"
"79","4","Arbatskaya","Арбатская","1935-05-15",-8,55.8148,37.7342
"80","4","Aleksandrovsky Sad","Александровский сад","1935-05-15",-7,55.8148,37.7342
"81","5","Kiyevskaya","Киевская","1954-03-14",-48,55.8148,37.7342
"82","5","Krasnopresnenskaya","Краснопресненская","1954-03-14",-35.5,55.8148,37.7342
"83","5","Belorusskaya","Белорусская","1952-01-30",-42.5,55.8148,37.7342
"84","5","Novoslobodskaya","Новослободская","1952-01-30",-40,55.8148,37.7342
"85","5","Prospekt Mira","Проспект Мира","1952-01-30",-40,55.8148,37.7342
"86","5","Komsomolskaya","Комсомольская","1952-01-30",-37,55.8148,37.7342
"87","5","Kurskaya","Курская","1950-01-01",-40,55.8148,37.7342
"88","5","Taganskaya","Таганская","1950-01-01",-53,55.8148,37.7342
"89","5","Paveletskaya","Павелецкая","1950-01-01",-40,55.8148,37.7342
"90","5","Dobryninskaya","Добрынинская","1950-01-01",-35.5,55.8148,37.7342
"91","5","Oktyabrskaya","Октябрьская","1950-01-01",-40,55.8148,37.7342
"92","5","Park Kultury","Парк культуры","1950-01-01",-40,55.8148,37.7342
"93","6","Medvedkovo","Медведково","1978-09-30",-10,55.8148,37.7342
"94","6","Babushkinskaya","Бабушкинская","1978-09-30",-10,55.8148,37.7342
"95","6","Sviblovo","Свиблово","1978-09-30",-8,55.8148,37.7342
"96","6","Botanichesky Sad","Ботанический сад","1978-09-30",-7,55.8148,37.7342
"97","6","VDNKh","ВДНХ","1958-05-01",-53.5,55.8148,37.7342
"98","6","Alekseyevskaya","Алексеевская","1958-05-01",-51,55.8148,37.7342
"99","6","Rizhskaya","Рижская","1958-05-01",-46,55.8148,37.7342
"100","6","Prospekt Mira","Проспект Мира","1958-05-01",-50,55.8148,37.7342
"101","6","Sukharevskaya","Сухаревская","1972-01-05",-43,55.8148,37.7342
"102","6","Turgenevskaya","Тургеневская","1972-01-05",-49,55.8148,37.7342
"103","6","Kitay-gorod","Китай-город","1971-01-03",-29,55.8148,37.7342
"104","6","Tretyakovskaya","Третьяковская","1971-01-03",-46,55.8148,37.7342
"105","6","Oktyabrskaya","Октябрьская","1962-10-13",-50,55.8148,37.7342
"106","6","Shabolovskaya","Шаболовская","1980-11-06",-46.5,55.8148,37.7342
"107","6","Leninsky Prospekt","Ленинский проспект","1962-10-13",-16,55.8148,37.7342
"108","6","Akademicheskaya","Академическая","1962-10-13",-8.5,55.8148,37.7342
"109","6","Profsoyuznaya","Профсоюзная","1962-10-13",-7,55.8148,37.7342
"110","6","Novye Cheryomushki","Новые Черёмушки","1962-10-13",-7,55.8148,37.7342
"111","6","Kaluzhskaya","Калужская","1974-08-12",-10,55.8148,37.7342
"112","6","Belyayevo","Беляево","1974-08-12",-12,55.8148,37.7342
"113","6","Konkovo","Коньково","1987-11-06",-8,55.8148,37.7342
"114","6","Tyoply Stan","Тёплый Стан","1987-11-06",-8,55.8148,37.7342
"115","6","Yasenevo","Ясенево","1990-01-17",-8,55.8148,37.7342
"116","6","Novoyasenevskaya","Новоясеневская","1990-01-17",-7,55.8148,37.7342
"117","7","Planernaya","Планерная","1975-12-30",-6,55.8148,37.7342
"118","7","Skhodnenskaya","Сходненская","1975-12-30",-6,55.8148,37.7342
"119","7","Tushinskaya","Тушинская","1975-12-30",-10.5,55.8148,37.7342
"120","7","Spartak","Спартак","2014-08-27",-10,55.8148,37.7342
"121","7","Shchukinskaya","Щукинская","1975-12-30",-13,55.8148,37.7342
"122","7","Oktyabrskoye Pole","Октябрьское поле","1972-12-30",-11,55.8148,37.7342
"123","7","Polezhayevskaya","Полежаевская","1972-12-30",-10,55.8148,37.7342
"124","7","Begovaya","Беговая","1972-12-30",-9,55.8148,37.7342
"125","7","Ulitsa 1905 Goda","Улица 1905 года","1972-12-30",-11,55.8148,37.7342
"126","7","Barrikadnaya","Баррикадная","1972-12-30",-30,55.8148,37.7342
"127","7","Pushkinskaya","Пушкинская","1975-12-17",-51,55.8148,37.7342
"128","7","Kuznetsky Most","Кузнецкий мост","1975-12-17",-39.5,55.8148,37.7342
"129","7","Kitay-gorod","Китай-город","1971-01-03",-29,55.8148,37.7342
"130","7","Taganskaya","Таганская","1966-12-31",-36,55.8148,37.7342
"131","7","Proletarskaya","Пролетарская","1966-12-31",-9,55.8148,37.7342
"132","7","Volgogradsky Prospekt","Волгоградский проспект","1966-12-31",-8,55.8148,37.7342
"133","7","Tekstilshchiki","Текстильщики","1966-12-31",-13,55.8148,37.7342
"134","7","Kuzminki","Кузьминки","1966-12-31",-8,55.8148,37.7342
"135","7","Ryazansky Prospekt","Рязанский проспект","1966-12-31",-6,55.8148,37.7342
"136","7","Vykhino","Выхино","1966-12-31",0,55.8148,37.7342
